summary,components,story_points,priority,issuetype,created_year,created_month,num_comments,project,status,created_date,key,created_dayofweek,num_components,resolution_days,assignee,num_labels
Implement a Random Sorter for offer allocations.,allocation,5.0,Major,Task,2018,5,3,Mesos,Resolved,2018-05-19,MESOS-8936,5,1,33.73,Benjamin Mahler,0
"Quota limit ""chopping"" can lead to cpu-only and memory-only offers.",allocation,3.0,Major,Bug,2018,5,3,Mesos,Resolved,2018-05-18,MESOS-8935,4,1,33.08,Meng Zhu,0
Quota guarantee metric does not handle removal correctly.,master,2.0,Major,Bug,2018,5,2,Mesos,Resolved,2018-05-17,MESOS-8932,3,1,4.97,Greg Mann,0
Refactor the libprocess gRPC warpper.,libprocess,5.0,Major,Improvement,2018,5,3,Mesos,Resolved,2018-05-16,MESOS-8924,2,1,23.21,Chun-Hung Hsiao,2
Autotools don't work with newer OpenJDK versions,build,3.0,Major,Bug,2018,5,3,Mesos,Resolved,2018-05-16,MESOS-8921,2,1,110.7,Kapil Arya,3
Per Framework SUBSCRIBE metrics.,master,2.0,Major,Improvement,2018,5,3,Mesos,Resolved,2018-05-16,MESOS-8919,2,1,77.84,Gilbert Song,0
Agent leaking file descriptors into forked processes,"agent,containerization,libprocess,stout",3.0,Major,Bug,2018,5,2,Mesos,Resolved,2018-05-15,MESOS-8917,1,4,41.27,Benjamin Bannier,1
Allocation logic cleanup.,allocation,5.0,Major,Epic,2018,5,4,Mesos,Resolved,2018-05-15,MESOS-8916,1,1,78.63,Meng Zhu,1
Per Framework terminal task state metrics,,2.0,Major,Task,2018,5,2,Mesos,Resolved,2018-05-14,MESOS-8912,0,0,50.17,Gilbert Song,0
Add framework metrics benchmark test.,,3.0,Major,Improvement,2018,5,2,Mesos,Resolved,2018-05-14,MESOS-8911,0,0,79.17,Greg Mann,2
Docker image fetcher fails with HTTP/2.,fetcher,3.0,Major,Bug,2018,5,15,Mesos,Resolved,2018-05-11,MESOS-8907,4,1,164.73,Till Toenshoff,1
`UriDiskProfileAdaptor` fails to update profile selectors.,storage,2.0,Major,Bug,2018,5,2,Mesos,Resolved,2018-05-11,MESOS-8906,4,1,0.84,Chun-Hung Hsiao,2
Update the Python CLI to use Python 3,cli,5.0,Major,Task,2018,5,1,Mesos,Resolved,2018-05-10,MESOS-8903,3,1,66.89,Armand Grillet,0
MasterSlaveReconciliationTest.ReconcileDroppedOperation is flaky,test,1.0,Major,Bug,2018,5,5,Mesos,Resolved,2018-05-08,MESOS-8892,1,1,0.58,Benjamin Bannier,1
Add minimum capabilities in the master.,,3.0,Major,Improvement,2018,5,2,Mesos,Resolved,2018-05-04,MESOS-8880,4,0,306.77,Meng Zhu,2
Docker container's resources will be wrongly enlarged in cgroups after agent recovery,docker,3.0,Critical,Bug,2018,5,4,Mesos,Resolved,2018-05-03,MESOS-8877,3,1,732.96,Qian Zhang,1
Normal exit of Docker container using rexray volume results in TASK_FAILED.,docker,2.0,Major,Bug,2018,5,2,Mesos,Resolved,2018-05-03,MESOS-8876,3,1,4.71,Qian Zhang,0
ResourceProviderManagerHttpApiTest.ResubscribeResourceProvider is flaky.,test,1.0,Major,Bug,2018,5,2,Mesos,Resolved,2018-05-03,MESOS-8874,3,1,1.8,Benjamin Bannier,3
StorageLocalResourceProviderTest.ROOT_ZeroSizedDisk is flaky.,test,2.0,Major,Bug,2018,5,6,Mesos,Resolved,2018-05-03,MESOS-8873,3,1,76.67,Chun-Hung Hsiao,3
OperationReconciliationTest.AgentPendingOperationAfterMasterFailover is flaky.,test,1.0,Major,Bug,2018,5,2,Mesos,Resolved,2018-05-03,MESOS-8872,3,1,112.17,Gastón Kleiman,2
Agent may fail to recover if the agent dies before image store cache checkpointed.,agent,3.0,Major,Bug,2018,5,2,Mesos,Resolved,2018-05-02,MESOS-8871,2,1,50.14,bin zheng,2
CMake builds are missing byproduct declaration for jemalloc.,cmake,1.0,Minor,Bug,2018,5,2,Mesos,Resolved,2018-05-02,MESOS-8866,2,1,0.03,Jan Schlicht,1
Suspicious enum value comparisons in scheduler Java bindings,java api,1.0,Major,Bug,2018,5,2,Mesos,Resolved,2018-05-02,MESOS-8865,2,1,0.54,Benjamin Bannier,0
Introduce a push-based gauge.,libprocess,3.0,Major,Improvement,2018,4,6,Mesos,Resolved,2018-04-26,MESOS-8851,3,1,1.07,Benjamin Mahler,2
Per Framework resource allocation metrics,,8.0,Major,Task,2018,4,3,Mesos,Resolved,2018-04-26,MESOS-8849,3,0,97.11,Greg Mann,0
Per Framework Offer metrics,master,2.0,Major,Task,2018,4,3,Mesos,Resolved,2018-04-26,MESOS-8848,3,1,97.11,Greg Mann,0
Per Framework task state metrics,,3.0,Major,Task,2018,4,2,Mesos,Resolved,2018-04-26,MESOS-8847,3,0,97.11,Greg Mann,0
Per Framework Operation metrics,master,2.0,Major,Task,2018,4,3,Mesos,Resolved,2018-04-26,MESOS-8845,3,1,97.12,Greg Mann,0
Per Framework EVENT metrics,master,2.0,Major,Task,2018,4,3,Mesos,Resolved,2018-04-26,MESOS-8844,3,1,97.12,Greg Mann,0
Per Framework CALL metrics,master,2.0,Major,Task,2018,4,3,Mesos,Resolved,2018-04-26,MESOS-8843,3,1,97.12,Greg Mann,0
Resource provider manager registrar recovery can race with agent on agent state leading to hard failures,"agent,storage,test",3.0,Major,Bug,2018,4,5,Mesos,Resolved,2018-04-25,MESOS-8839,2,3,356.07,Benjamin Bannier,1
Consider validating that resubscribing resource providers do not change their name or type,agent,2.0,Major,Bug,2018,4,2,Mesos,Resolved,2018-04-25,MESOS-8838,2,1,74.9,Benjamin Bannier,0
Add test of resource provider manager recovery,test,1.0,Major,Task,2018,4,2,Mesos,Resolved,2018-04-25,MESOS-8837,2,1,36.62,Benjamin Bannier,0
Add a tests of recovery of the resource provider manager registrars.,test,2.0,Major,Bug,2018,4,2,Mesos,Resolved,2018-04-25,MESOS-8836,2,1,22.18,Benjamin Bannier,0
mesos-tests takes a long time to execute no tests,test,1.0,Minor,Bug,2018,4,3,Mesos,Resolved,2018-04-25,MESOS-8835,2,1,285.98,Benjamin Bannier,0
Get rid of extra `containerizer->wait()` calls in tests.,,3.0,Major,Improvement,2018,4,2,Mesos,Resolved,2018-04-24,MESOS-8829,1,0,30.42,Andrei Budnik,0
Remove storage pools associated with missing profiles.,,5.0,Major,Task,2018,4,2,Mesos,Resolved,2018-04-24,MESOS-8825,1,0,80.83,Chun-Hung Hsiao,0
mesos.pom file hardcodes developers,java api,1.0,Minor,Task,2018,4,2,Mesos,Resolved,2018-04-23,MESOS-8819,0,1,1.27,Benjamin Bannier,0
VolumeSandboxPathIsolatorTest.SharedParentTypeVolume fails on macOS,containerization,2.0,Major,Bug,2018,4,3,Mesos,Resolved,2018-04-23,MESOS-8818,0,1,0.28,Jan Schlicht,1
Mount the volume based on `Volume.mode`.,,5.0,Major,Task,2018,4,2,Mesos,Resolved,2018-04-20,MESOS-8814,4,0,116.49,Qian Zhang,0
Support multiple tasks with different users can access a persistent volume.,containerization,8.0,Major,Task,2018,4,3,Mesos,Resolved,2018-04-20,MESOS-8813,4,1,313.73,Qian Zhang,0
Grant non-root task user the permissions to access the SANDBOX_PATH volume of PARENT type,containerization,13.0,Major,Task,2018,4,4,Mesos,Resolved,2018-04-20,MESOS-8810,4,1,313.95,Qian Zhang,0
Add functions for manipulating POSIX ACLs into stout,stout,3.0,Major,Task,2018,4,2,Mesos,Resolved,2018-04-20,MESOS-8809,4,1,306.63,Qian Zhang,1
Add jemalloc as optional third-party memory allocator,,3.0,Major,Improvement,2018,4,1,Mesos,Resolved,2018-04-18,MESOS-8801,2,0,0.02,Benno Evers,0
Master should show dynamic resources in state endpoint,"HTTP API,master",2.0,Major,Task,2018,4,1,Mesos,Resolved,2018-04-17,MESOS-8799,1,2,21.68,Benjamin Bannier,0
"Build the ""unsecure"" gRPC libraries to remove SSL dependency.",,3.0,Critical,Improvement,2018,4,2,Mesos,Resolved,2018-04-17,MESOS-8798,1,0,22.07,Chun-Hung Hsiao,2
Catch up new CLI features to be the same as the old one.,,8.0,Major,Task,2018,4,5,Mesos,Resolved,2018-04-17,MESOS-8795,1,0,352.1,Armand Grillet,0
Support docker image tarball hdfs based fetching.,containerization,13.0,Blocker,Task,2018,4,3,Mesos,Resolved,2018-04-17,MESOS-8794,1,1,51.57,Gilbert Song,4
/roles and webui roles table should display distinct offered and allocated resources.,"agent,HTTP API,master",3.0,Major,Improvement,2018,4,4,Mesos,Resolved,2018-04-14,MESOS-8789,5,3,452.96,Benjamin Mahler,3
RP-related API should be experimental.,,1.0,Blocker,Bug,2018,4,1,Mesos,Resolved,2018-04-14,MESOS-8787,5,0,4.04,Chun-Hung Hsiao,2
CgroupIsolatorProcess accesses subsystem processes directly.,containerization,5.0,Major,Bug,2018,4,2,Mesos,Resolved,2018-04-13,MESOS-8786,4,1,27.8,Benjamin Bannier,0
OPERATION_DROPPED operation status updates should include the operation/framework IDs,master,3.0,Blocker,Bug,2018,4,2,Mesos,Resolved,2018-04-12,MESOS-8784,3,1,25.08,Gastón Kleiman,0
Transition pending operations to OPERATION_UNREACHABLE when an agent is removed.,master,3.0,Critical,Bug,2018,4,2,Mesos,Resolved,2018-04-12,MESOS-8783,3,1,278.98,Benno Evers,2
Transition operations to OPERATION_GONE_BY_OPERATOR when marking an agent gone.,master,3.0,Critical,Bug,2018,4,2,Mesos,Resolved,2018-04-12,MESOS-8782,3,1,272.8,Benno Evers,1
Mesos master shouldn't silently drop operations,master,3.0,Major,Bug,2018,4,2,Mesos,Resolved,2018-04-12,MESOS-8781,3,1,10.93,Gastón Kleiman,0
Support `STAGE_UNSTAGE_VOLUME` CSI capability in SLRP,storage,5.0,Blocker,Task,2018,4,2,Mesos,Resolved,2018-04-12,MESOS-8777,3,1,1.08,Chun-Hung Hsiao,2
Authenticate and authorize calls to the resource provider manager's API,agent,8.0,Major,Task,2018,4,2,Mesos,Resolved,2018-04-11,MESOS-8774,2,1,28.0,Jan Schlicht,1
Add slave recovery test for default executor.,executor,2.0,Major,Improvement,2018,4,1,Mesos,Resolved,2018-04-10,MESOS-8772,1,1,6.81,Gilbert Song,4
Use Python3 for Mesos support scripts,,8.0,Major,Task,2018,4,6,Mesos,Resolved,2018-04-10,MESOS-8770,1,0,147.28,Armand Grillet,0
Agent crashes when CNI config not defined,containerization,1.0,Critical,Bug,2018,4,0,Mesos,Resolved,2018-04-10,MESOS-8769,1,1,392.64,Gilbert Song,2
CSI proto is always included in the build when using CMake,,1.0,Minor,Bug,2018,3,2,Mesos,Resolved,2018-03-29,MESOS-8749,3,0,0.86,Chun-Hung Hsiao,1
Create ACL for grow and shrink volume,security,3.0,Blocker,Task,2018,3,2,Mesos,Resolved,2018-03-28,MESOS-8748,2,1,36.31,Zhitao Li,3
Support resizing persistent volume through operator API,,5.0,Blocker,Task,2018,3,2,Mesos,Resolved,2018-03-28,MESOS-8747,2,0,36.32,Zhitao Li,3
Agent resource provider config API calls should be idempotent.,,2.0,Blocker,Bug,2018,3,2,Mesos,Resolved,2018-03-27,MESOS-8742,1,0,1.78,Chun-Hung Hsiao,2
`Add` to sequence will not run if it races with sequence destruction,libprocess,1.0,Major,Bug,2018,3,2,Mesos,Resolved,2018-03-27,MESOS-8741,1,1,9.42,Meng Zhu,1
Update description of a Containerizer interface.,,2.0,Major,Documentation,2018,3,2,Mesos,Resolved,2018-03-27,MESOS-8740,1,0,58.32,Andrei Budnik,2
Update composing containerizer tests.,,3.0,Major,Task,2018,3,2,Mesos,Resolved,2018-03-27,MESOS-8737,1,0,58.36,Andrei Budnik,2
Implement a test which ensures that `wait` and `destroy` return the same result for a terminated nested container.,,3.0,Major,Task,2018,3,2,Mesos,Resolved,2018-03-27,MESOS-8736,1,0,58.38,Andrei Budnik,2
Implement recovery for resource provider manager registrar,"agent,master,storage",5.0,Major,Task,2018,3,3,Mesos,Resolved,2018-03-27,MESOS-8735,1,3,35.42,Benjamin Bannier,0
Restore `WaitAfterDestroy` test to check termination status of a terminated nested container.,,3.0,Major,Task,2018,3,2,Mesos,Resolved,2018-03-27,MESOS-8734,1,0,58.43,Andrei Budnik,2
OversubscriptionTest.ForwardUpdateSlaveMessage is flaky,test,1.0,Major,Bug,2018,3,3,Mesos,Resolved,2018-03-27,MESOS-8733,1,1,0.29,Benjamin Bannier,2
Use composing containerizer in some agent tests.,containerization,8.0,Major,Task,2018,3,2,Mesos,Resolved,2018-03-27,MESOS-8732,1,1,132.77,Andrei Budnik,3
Don't print full usage for invocation errors,"agent,master",2.0,Major,Improvement,2018,3,2,Mesos,Resolved,2018-03-23,MESOS-8728,4,2,4.98,Benno Evers,1
G++ Warning about libc system macros `major` and `minor` prevents Mesos build,,2.0,Blocker,Bug,2018,3,7,Mesos,Resolved,2018-03-22,MESOS-8724,3,0,29.44,Chun-Hung Hsiao,0
Mesos configured with `--enable-grpc` doesn't compile on non-Linux builds,storage,2.0,Major,Bug,2018,3,2,Mesos,Resolved,2018-03-22,MESOS-8719,3,1,7.3,Jan Schlicht,1
Support CSI v0.2 in SLRP.,storage,5.0,Blocker,Task,2018,3,2,Mesos,Resolved,2018-03-22,MESOS-8717,3,1,22.03,Chun-Hung Hsiao,2
Consider removing conditional inclusion in the public header `csi/spec.hpp`.,storage,2.0,Minor,Improvement,2018,3,1,Mesos,Resolved,2018-03-21,MESOS-8715,2,1,198.19,Chun-Hung Hsiao,2
Cleanup `containers_` hashmap once container exits,,3.0,Major,Task,2018,3,4,Mesos,Resolved,2018-03-21,MESOS-8714,2,0,64.28,Andrei Budnik,0
Synchronize result of `wait` and `destroy` composing c'zer methods,,3.0,Major,Task,2018,3,2,Mesos,Resolved,2018-03-21,MESOS-8713,2,0,64.32,Andrei Budnik,0
Remove `destroyed` promise from `Container` struct,,3.0,Major,Task,2018,3,2,Mesos,Resolved,2018-03-21,MESOS-8712,2,0,64.34,Andrei Budnik,0
SlaveTest.ChangeDomain is disabled.,test,1.0,Major,Bug,2018,3,2,Mesos,Resolved,2018-03-21,MESOS-8711,2,1,5.05,Benno Evers,2
Update tests after changing return type of `wait` method,,3.0,Major,Task,2018,3,2,Mesos,Resolved,2018-03-21,MESOS-8710,2,0,21.28,Andrei Budnik,0
Unify return type of `wait` and `destroy` containerizer methods,,5.0,Major,Task,2018,3,2,Mesos,Resolved,2018-03-21,MESOS-8706,2,0,21.31,Andrei Budnik,0
Replace the manual parsing in Mesos code with the native protobuf map support,containerization,2.0,Major,Improvement,2018,3,2,Mesos,Resolved,2018-03-21,MESOS-8702,2,1,8.14,Qian Zhang,1
Enable storage local resource provider in CMake.,,3.0,Blocker,Task,2018,3,2,Mesos,Resolved,2018-03-19,MESOS-8698,0,0,32.1,Chun-Hung Hsiao,2
Make gRPC-related tests cross-platform.,,2.0,Major,Task,2018,3,2,Mesos,Resolved,2018-03-19,MESOS-8697,0,0,1.88,Chun-Hung Hsiao,2
Bump gRPC bundle to 1.10.0.,,2.0,Major,Task,2018,3,2,Mesos,Resolved,2018-03-15,MESOS-8678,3,0,6.13,Chun-Hung Hsiao,2
Build CSI proto in CMake.,storage,3.0,Major,Task,2018,3,2,Mesos,Resolved,2018-03-09,MESOS-8657,4,1,5.92,Chun-Hung Hsiao,2
Improve stout JSON -> protobuf message conversion to handle more valid JSONs,,2.0,Major,Improvement,2018,3,2,Mesos,Resolved,2018-03-09,MESOS-8656,4,0,4.79,Qian Zhang,0
Make the CSI client to support CSI v0.2.,storage,2.0,Blocker,Task,2018,3,2,Mesos,Resolved,2018-03-09,MESOS-8653,4,1,35.05,Chun-Hung Hsiao,2
Bump CSI bundle to v0.2.,storage,2.0,Blocker,Task,2018,3,2,Mesos,Resolved,2018-03-09,MESOS-8650,4,1,35.07,Chun-Hung Hsiao,2
Enable resource provider agent capability by default,"agent,test",2.0,Major,Bug,2018,3,2,Mesos,Resolved,2018-03-08,MESOS-8647,3,2,17.95,Benjamin Bannier,0
ballon-executor is hard to run as unprivileged user,,2.0,Major,Bug,2018,3,2,Mesos,Resolved,2018-03-06,MESOS-8642,1,0,0.06,Benjamin Bannier,0
Validate `DockerInfo` exists when container's type is `DOCKER`,containerization,2.0,Major,Improvement,2018,3,2,Mesos,Resolved,2018-03-06,MESOS-8640,1,1,7.15,Qian Zhang,0
The 'allocatable' check in the allocator is problematic with multi-role frameworks,allocation,3.0,Major,Bug,2018,3,2,Mesos,Resolved,2018-03-02,MESOS-8626,4,1,122.94,Benjamin Bannier,2
Valid tasks may be explicitly dropped by agent due to race conditions,,8.0,Blocker,Bug,2018,3,4,Mesos,Resolved,2018-03-01,MESOS-8624,3,0,35.43,Meng Zhu,1
Containers stuck in FETCHING possibly due to unresponsive server.,,3.0,Major,Bug,2018,2,4,Mesos,Resolved,2018-02-28,MESOS-8620,2,0,223.75,Chun-Hung Hsiao,1
Test `MasterAllocatorTest/*.TaskFinished` is flaky.,,2.0,Major,Bug,2018,2,2,Mesos,Resolved,2018-02-26,MESOS-8613,0,0,162.49,Till Toenshoff,2
Terminal task status update will not send if 'docker inspect' is hung,docker,3.0,Major,Bug,2018,2,3,Mesos,Resolved,2018-02-23,MESOS-8605,4,1,7.42,Andrei Budnik,1
Quota headroom tracking may be incorrect in the presence of hierarchical reservation.,allocation,2.0,Major,Bug,2018,2,2,Mesos,Resolved,2018-02-23,MESOS-8604,4,1,3.28,Meng Zhu,0
Master crashes during slave reregistration after failover.,master,3.0,Blocker,Bug,2018,2,3,Mesos,Resolved,2018-02-22,MESOS-8601,3,1,1.33,Chun-Hung Hsiao,1
Allow empty resource provider selector in `UriDiskProfileAdaptor`.,storage,1.0,Major,Bug,2018,2,2,Mesos,Resolved,2018-02-20,MESOS-8598,1,1,2.27,Chun-Hung Hsiao,2
Mesos master stack overflow in libprocess socket send loop.,master,1.0,Blocker,Bug,2018,2,11,Mesos,Resolved,2018-02-19,MESOS-8594,0,1,70.45,Benjamin Mahler,1
Add infra to test a hung Docker daemon,"docker,test",3.0,Major,Improvement,2018,2,2,Mesos,Resolved,2018-02-16,MESOS-8591,4,2,7.17,Greg Mann,1
Destroy nested container if `LAUNCH_NESTED_CONTAINER_SESSION` fails,,3.0,Major,Bug,2018,2,3,Mesos,Resolved,2018-02-13,MESOS-8577,1,0,0.28,Andrei Budnik,1
Improve discard handling of 'Docker::inspect()',"containerization,docker",3.0,Major,Improvement,2018,2,5,Mesos,Resolved,2018-02-13,MESOS-8576,1,2,15.67,Greg Mann,1
Improve discard handling for 'Docker::stop' and 'Docker::pull'.,,3.0,Major,Improvement,2018,2,4,Mesos,Resolved,2018-02-13,MESOS-8575,1,0,10.74,Greg Mann,1
Docker executor makes no progress when 'docker inspect' hangs,"docker,executor",5.0,Major,Improvement,2018,2,8,Mesos,Resolved,2018-02-13,MESOS-8574,1,2,18.06,Andrei Budnik,1
Container stuck in PULLING when Docker daemon hangs,,3.0,Major,Improvement,2018,2,4,Mesos,Resolved,2018-02-13,MESOS-8573,1,0,10.75,Gilbert Song,1
Allow newline characters when decoding base64 strings in stout.,stout,2.0,Major,Task,2018,2,1,Mesos,Resolved,2018-02-12,MESOS-8569,0,1,7.97,Kapil Arya,0
Command checks should always call `WAIT_NESTED_CONTAINER` before `REMOVE_NESTED_CONTAINER`,,5.0,Blocker,Bug,2018,2,12,Mesos,Resolved,2018-02-12,MESOS-8568,0,0,205.44,Qian Zhang,3
Test UriDiskProfileTest.FetchFromHTTP is flaky.,storage,3.0,Major,Bug,2018,2,7,Mesos,Resolved,2018-02-10,MESOS-8567,5,1,153.8,Chun-Hung Hsiao,3
Persistent volumes are not visible in Mesos UI when launching a pod using default executor.,,2.0,Major,Bug,2018,2,4,Mesos,Resolved,2018-02-10,MESOS-8565,5,0,4.33,Qian Zhang,0
Enhance V1 scheduler send API to receive sync response from Master,HTTP API,3.0,Major,Task,2018,2,2,Mesos,Resolved,2018-02-08,MESOS-8554,3,1,594.67,Kapil Arya,0
CGROUPS_ROOT_PidNamespaceForward and CGROUPS_ROOT_PidNamespaceBackward tests fail,,2.0,Critical,Bug,2018,2,3,Mesos,Resolved,2018-02-08,MESOS-8552,3,0,0.6,Meng Zhu,2
Port libprocess HTTPTest.QueryEncodeDecode,,1.0,Major,Task,2018,2,3,Mesos,Resolved,2018-02-07,MESOS-8551,2,0,28.31,Eric Mumau,2
Bug in `Master::detected()` leads to coredump in `MasterZooKeeperTest.MasterInfoAddress`.,"leader election,master",2.0,Major,Bug,2018,2,5,Mesos,Resolved,2018-02-07,MESOS-8550,2,2,42.91,Benno Evers,1
Test StorageLocalResourceProviderTest.ROOT_Metrics is flaky,storage,2.0,Major,Bug,2018,2,2,Mesos,Resolved,2018-02-06,MESOS-8548,1,1,2.06,Chun-Hung Hsiao,0
PythonFramework test fails with cache write failure.,test,2.0,Major,Bug,2018,2,3,Mesos,Resolved,2018-02-05,MESOS-8546,0,1,1.22,Till Toenshoff,3
AgentAPIStreamingTest.AttachInputToNestedContainerSession is flaky.,agent,8.0,Major,Bug,2018,2,9,Mesos,Resolved,2018-02-05,MESOS-8545,0,1,224.97,Andrei Budnik,2
Add metrics about CSI plugin terminations.,,2.0,Major,Task,2018,2,1,Mesos,Resolved,2018-02-02,MESOS-8539,4,0,0.05,Jie Yu,0
Default executor doesn't wait for status updates to be ack'd before shutting down,executor,3.0,Major,Bug,2018,2,3,Mesos,Resolved,2018-02-02,MESOS-8537,4,1,730.8,Andrei Budnik,3
Pending offer operations on resource provider resources not properly accounted for in allocator,master,2.0,Major,Bug,2018,2,2,Mesos,Resolved,2018-02-02,MESOS-8536,4,1,38.16,Benjamin Bannier,3
Default executor tasks can get stuck in KILLING state,executor,5.0,Critical,Bug,2018,2,3,Mesos,Resolved,2018-02-01,MESOS-8530,3,1,53.5,Gastón Kleiman,2
Design Doc for Storage External Resource Provider (SERP) support.,,8.0,Major,Task,2018,2,0,Mesos,Resolved,2018-02-01,MESOS-8528,3,0,406.72,Chun-Hung Hsiao,2
SLRP failed to connect to CSI endpoint.,,2.0,Blocker,Bug,2018,1,2,Mesos,Resolved,2018-01-31,MESOS-8514,2,0,0.79,Chun-Hung Hsiao,2
"Noisy ""transport endpoint is not connected"" logs on closing sockets.",,3.0,Minor,Bug,2018,1,4,Mesos,Resolved,2018-01-31,MESOS-8513,2,0,5.99,Till Toenshoff,3
Fetcher doesn't log it's stdout/stderr properly to the log file,,2.0,Major,Bug,2018,1,4,Mesos,Resolved,2018-01-30,MESOS-8512,1,0,21.99,Andrew Schwartzmeyer,4
URI disk profile adaptor does not consider plugin type for a profile.,,3.0,Major,Bug,2018,1,3,Mesos,Resolved,2018-01-30,MESOS-8510,1,0,9.17,Chun-Hung Hsiao,0
Missing map header when compiling against unbundled protobuf,,1.0,Major,Bug,2018,1,2,Mesos,Resolved,2018-01-30,MESOS-8508,1,0,0.48,Benno Evers,0
Improve UI when displaying frameworks with many roles.,,5.0,Major,Task,2018,1,4,Mesos,Resolved,2018-01-29,MESOS-8503,0,0,598.48,Andrei Sekretenko,1
Docker parameter `name` does not work with Docker Containerizer.,containerization,2.0,Critical,Bug,2018,1,5,Mesos,Resolved,2018-01-26,MESOS-8497,4,1,45.43,Qian Zhang,1
Checkpoint profiles in storage local resource provider.,storage,3.0,Blocker,Task,2018,1,4,Mesos,Resolved,2018-01-25,MESOS-8492,3,1,95.0,Chun-Hung Hsiao,2
LinuxCapabilitiesIsolatorFlagsTest.ROOT_IsolatorFlags is flaky,containerization,8.0,Major,Bug,2018,1,5,Mesos,Resolved,2018-01-25,MESOS-8489,3,1,75.77,Andrei Budnik,3
Docker bug can cause unkillable tasks.,containerization,2.0,Major,Improvement,2018,1,5,Mesos,Resolved,2018-01-25,MESOS-8488,3,1,20.08,Qian Zhang,1
Design API changes for supporting quota limits.,HTTP API,13.0,Major,Task,2018,1,3,Mesos,Resolved,2018-01-25,MESOS-8487,3,1,393.04,Meng Zhu,2
Webui should display role limits.,webui,1.0,Major,Task,2018,1,3,Mesos,Resolved,2018-01-25,MESOS-8486,3,1,516.89,Meng Zhu,2
MasterTest.RegistryGcByCount is flaky,test,3.0,Major,Bug,2018,1,6,Mesos,Resolved,2018-01-24,MESOS-8485,2,1,41.75,Benno Evers,1
stout test NumifyTest.HexNumberTest fails. ,stout,1.0,Blocker,Bug,2018,1,4,Mesos,Resolved,2018-01-24,MESOS-8484,2,1,0.93,Benjamin Bannier,0
ExampleTests PythonFramework fails with sigabort.,,3.0,Blocker,Bug,2018,1,5,Mesos,Resolved,2018-01-24,MESOS-8483,2,0,6.35,Till Toenshoff,0
Signed/Unsigned comparisons in tests,test,1.0,Major,Bug,2018,1,2,Mesos,Resolved,2018-01-24,MESOS-8482,2,1,1.09,Benno Evers,3
Mesos returns high resource usage when killing a Docker task.,containerization,2.0,Major,Bug,2018,1,5,Mesos,Resolved,2018-01-23,MESOS-8480,1,1,0.18,Chun-Hung Hsiao,0
Make clean fails without Python artifacts.,build,1.0,Major,Bug,2018,1,3,Mesos,Resolved,2018-01-23,MESOS-8477,1,1,2.9,Till Toenshoff,0
Test StorageLocalResourceProviderTest.ROOT_ConvertPreExistingVolume is flaky,"storage,test",2.0,Major,Bug,2018,1,6,Mesos,Resolved,2018-01-22,MESOS-8474,0,2,16.41,Chun-Hung Hsiao,3
Authorize `GET_OPERATIONS` calls.,"agent,master",3.0,Major,Task,2018,1,2,Mesos,Resolved,2018-01-22,MESOS-8473,0,2,168.93,Benjamin Bannier,0
CHECK failure in DRFSorter due to invalid framework id.,allocation,2.0,Major,Bug,2018,1,7,Mesos,Resolved,2018-01-20,MESOS-8470,5,1,325.48,Benjamin Bannier,3
Mesos master might drop some events in the operator API stream,,3.0,Critical,Bug,2018,1,4,Mesos,Resolved,2018-01-20,MESOS-8469,5,0,2.95,Greg Mann,0
`LAUNCH_GROUP` failure tears down the default executor.,,5.0,Critical,Bug,2018,1,3,Mesos,Resolved,2018-01-19,MESOS-8468,4,0,25.62,Gastón Kleiman,2
Destroyed executors might be used after `Slave::publishResource()`.,,2.0,Critical,Bug,2018,1,4,Mesos,Resolved,2018-01-19,MESOS-8467,4,0,446.15,Chun-Hung Hsiao,3
Test MasterAllocatorTest/1.SingleFramework is flaky,"allocation,test",3.0,Major,Bug,2018,1,7,Mesos,Resolved,2018-01-19,MESOS-8463,4,2,32.49,Till Toenshoff,1
Unit test for `Slave::detachFile` on removed frameworks.,,2.0,Major,Task,2018,1,2,Mesos,Resolved,2018-01-19,MESOS-8462,4,0,4.96,Qian Zhang,1
`Slave::detachFile` can segfault because it could use invalid Framework*.,,3.0,Major,Bug,2018,1,4,Mesos,Resolved,2018-01-18,MESOS-8460,3,0,0.28,Chun-Hung Hsiao,0
Allocator should allow roles to burst above guarantees but below limits.,allocation,8.0,Major,Improvement,2018,1,3,Mesos,Resolved,2018-01-17,MESOS-8456,2,1,506.03,Meng Zhu,2
Avoid unnecessary copying of protobuf in the v1 API.,"agent,master",3.0,Major,Improvement,2018,1,3,Mesos,Resolved,2018-01-17,MESOS-8455,2,2,0.27,Benjamin Mahler,0
Add a download link for master and agent logs in WebUI,webui,3.0,Major,Improvement,2018,1,2,Mesos,Resolved,2018-01-17,MESOS-8454,2,1,41.35,Armand Grillet,0
ExecutorAuthorizationTest.RunTaskGroup segfaults.,test,3.0,Major,Bug,2018,1,3,Mesos,Resolved,2018-01-17,MESOS-8453,2,1,7.2,Benjamin Mahler,1
Incomplete output of apply-reviews.py --dry-run,build,1.0,Major,Bug,2018,1,2,Mesos,Resolved,2018-01-16,MESOS-8447,1,1,9.23,Benjamin Bannier,0
Agent miss to detach `virtualLatestPath` for the executor's sandbox during recovery,agent,1.0,Major,Bug,2018,1,2,Mesos,Resolved,2018-01-15,MESOS-8446,0,1,1.55,Qian Zhang,0
